,slot,parent_hash,block_hash,builder_pubkey,proposer_pubkey,proposer_fee_recipient,gas_limit,gas_used,value,num_tx,block_number,timestamp,timestamp_ms,optimistic_submission,relay,builder_label,slot_time,max_bid
0,8351341,0x8b4535f31027c5d4303fa7c52364d54fc3f09805f41c899e65f73b53781e369b,0x3bf3211bd200583294ec79391d2e8f831c0349183cc54a7c13c869e8920758ef,0xa1f10d66aa4b73c5d9a6cc38a098b2c6ce031a6750ea2da01918ba3ac57c2ce1e39a0da622bd8ccd7c9930861f949fa2,0x88693a24ef231b9fb91c7fd927d2c0c80ead39f144a76ced402a912cb1d405c5c6a544eefee4fadc1fe5c38bea3b77ff,0xB92B4A201f4320A6Db6d1fb2d3Bac834bDaa95C9,30000000,5130072,607193903818252,37,19154157,1707040107,1707040107019,False,flashbots,FC,4019,607193903818252
1,8351341,0x8b4535f31027c5d4303fa7c52364d54fc3f09805f41c899e65f73b53781e369b,0xac607593f89ed94c8e6aae8a08ee2480ad2af18550cdec56fc7bcb5c19285a32,0x8c0d45833884744d8cc4bb3438c3e93bcbc1436a25da5da44cc357e93bc0a7eea1d4664c287c4c63958eedada3846ae8,0x88693a24ef231b9fb91c7fd927d2c0c80ead39f144a76ced402a912cb1d405c5c6a544eefee4fadc1fe5c38bea3b77ff,0xB92B4A201f4320A6Db6d1fb2d3Bac834bDaa95C9,30000000,2793215,1951697440426758,36,19154157,1707040107,1707040107160,False,flashbots,EigenPhi,4160,1951697440426758
2,8351341,0x8b4535f31027c5d4303fa7c52364d54fc3f09805f41c899e65f73b53781e369b,0xf625858c5929e44b3a029fd8454b8dd0452ee0b131bf96ad7c455dae5c7d4f17,0x8c0d45833884744d8cc4bb3438c3e93bcbc1436a25da5da44cc357e93bc0a7eea1d4664c287c4c63958eedada3846ae8,0x88693a24ef231b9fb91c7fd927d2c0c80ead39f144a76ced402a912cb1d405c5c6a544eefee4fadc1fe5c38bea3b77ff,0xB92B4A201f4320A6Db6d1fb2d3Bac834bDaa95C9,30000000,5442140,2436360480927158,41,19154157,1707040107,1707040107516,False,flashbots,EigenPhi,4516,2436360480927158
3,8351341,0x8b4535f31027c5d4303fa7c52364d54fc3f09805f41c899e65f73b53781e369b,0x22601f64181cd77a0dc8d11f3a839eb95f7f20405b75567fa541a92a4d212e7e,0x8c0d45833884744d8cc4bb3438c3e93bcbc1436a25da5da44cc357e93bc0a7eea1d4664c287c4c63958eedada3846ae8,0x88693a24ef231b9fb91c7fd927d2c0c80ead39f144a76ced402a912cb1d405c5c6a544eefee4fadc1fe5c38bea3b77ff,0xB92B4A201f4320A6Db6d1fb2d3Bac834bDaa95C9,30000000,5578982,2476421416927158,45,19154157,1707040108,1707040108003,False,flashbots,EigenPhi,5003,2476421416927158
4,8351341,0x8b4535f31027c5d4303fa7c52364d54fc3f09805f41c899e65f73b53781e369b,0x7a7a4596a9881b8adecf9d30a83ad9bcdcf05dbcf9b901d511a6bfa16d77a6ad,0xab847befe59b5effffa12f47acf44cbf8ef875e7c891a4ee9e9c483254cf9a55f5ed688e43ff5bc6cd9276e99091921b,0x88693a24ef231b9fb91c7fd927d2c0c80ead39f144a76ced402a912cb1d405c5c6a544eefee4fadc1fe5c38bea3b77ff,0xB92B4A201f4320A6Db6d1fb2d3Bac834bDaa95C9,30000000,5682169,8519786423424094,46,19154157,1707040108,1707040108378,False,flashbots,boba-builder.com,5378,8519786423424094
5,8351341,0x8b4535f31027c5d4303fa7c52364d54fc3f09805f41c899e65f73b53781e369b,0xbace770710cabbd42043f6f8723185746d4770eb4e96e933b1e1c60db98b834f,0xab847befe59b5effffa12f47acf44cbf8ef875e7c891a4ee9e9c483254cf9a55f5ed688e43ff5bc6cd9276e99091921b,0x88693a24ef231b9fb91c7fd927d2c0c80ead39f144a76ced402a912cb1d405c5c6a544eefee4fadc1fe5c38bea3b77ff,0xB92B4A201f4320A6Db6d1fb2d3Bac834bDaa95C9,30000000,5952826,8519786423424104,48,19154157,1707040108,1707040108525,False,flashbots,boba-builder.com,5525,8519786423424104
6,8351341,0x8b4535f31027c5d4303fa7c52364d54fc3f09805f41c899e65f73b53781e369b,0x49f8dc208b209b3a802e776f253ac3be85595762c76d2df32fdfc870ba44b749,0xab847befe59b5effffa12f47acf44cbf8ef875e7c891a4ee9e9c483254cf9a55f5ed688e43ff5bc6cd9276e99091921b,0x88693a24ef231b9fb91c7fd927d2c0c80ead39f144a76ced402a912cb1d405c5c6a544eefee4fadc1fe5c38bea3b77ff,0xB92B4A201f4320A6Db6d1fb2d3Bac834bDaa95C9,30000000,6391926,8519786423424114,52,19154157,1707040108,1707040108642,False,flashbots,boba-builder.com,5642,8519786423424114
7,8351341,0x8b4535f31027c5d4303fa7c52364d54fc3f09805f41c899e65f73b53781e369b,0xf056c36f625dbf13b194534e7b2ed928616ec363e02644100305a0e995e768c4,0xab847befe59b5effffa12f47acf44cbf8ef875e7c891a4ee9e9c483254cf9a55f5ed688e43ff5bc6cd9276e99091921b,0x88693a24ef231b9fb91c7fd927d2c0c80ead39f144a76ced402a912cb1d405c5c6a544eefee4fadc1fe5c38bea3b77ff,0xB92B4A201f4320A6Db6d1fb2d3Bac834bDaa95C9,30000000,6791403,8519786423424123,57,19154157,1707040108,1707040108856,False,flashbots,boba-builder.com,5856,8519786423424123
8,8351341,0x8b4535f31027c5d4303fa7c52364d54fc3f09805f41c899e65f73b53781e369b,0x44c4cbdd28c1e234d27b0a73f633bf74edd57a9fcb2581b9fc173a9f1b7777bb,0xab847befe59b5effffa12f47acf44cbf8ef875e7c891a4ee9e9c483254cf9a55f5ed688e43ff5bc6cd9276e99091921b,0x88693a24ef231b9fb91c7fd927d2c0c80ead39f144a76ced402a912cb1d405c5c6a544eefee4fadc1fe5c38bea3b77ff,0xB92B4A201f4320A6Db6d1fb2d3Bac834bDaa95C9,30000000,7105632,8519786423424134,61,19154157,1707040109,1707040109112,False,flashbots,boba-builder.com,6112,8519786423424134
9,8351341,0x8b4535f31027c5d4303fa7c52364d54fc3f09805f41c899e65f73b53781e369b,0xd3da92e0064bc9210dcf4513cf395f6d82c2078d5af7f42071ed58752ca73137,0xab847befe59b5effffa12f47acf44cbf8ef875e7c891a4ee9e9c483254cf9a55f5ed688e43ff5bc6cd9276e99091921b,0x88693a24ef231b9fb91c7fd927d2c0c80ead39f144a76ced402a912cb1d405c5c6a544eefee4fadc1fe5c38bea3b77ff,0xB92B4A201f4320A6Db6d1fb2d3Bac834bDaa95C9,30000000,7216286,8519786423424144,62,19154157,1707040109,1707040109284,False,flashbots,boba-builder.com,6284,8519786423424144
10,8351341,0x8b4535f31027c5d4303fa7c52364d54fc3f09805f41c899e65f73b53781e369b,0x92e327cbfb6c0c28ffd0e7867f9296f6d51bc9cf2dc5f30679b783725d28d948,0xab847befe59b5effffa12f47acf44cbf8ef875e7c891a4ee9e9c483254cf9a55f5ed688e43ff5bc6cd9276e99091921b,0x88693a24ef231b9fb91c7fd927d2c0c80ead39f144a76ced402a912cb1d405c5c6a544eefee4fadc1fe5c38bea3b77ff,0xB92B4A201f4320A6Db6d1fb2d3Bac834bDaa95C9,30000000,7304484,8519786423424154,63,19154157,1707040109,1707040109570,False,flashbots,boba-builder.com,6570,8519786423424154
11,8351341,0x8b4535f31027c5d4303fa7c52364d54fc3f09805f41c899e65f73b53781e369b,0x2d830e64c52baee37996ff66dfaedb8814009d8467ca9907ec1a67f0023904ed,0xab847befe59b5effffa12f47acf44cbf8ef875e7c891a4ee9e9c483254cf9a55f5ed688e43ff5bc6cd9276e99091921b,0x88693a24ef231b9fb91c7fd927d2c0c80ead39f144a76ced402a912cb1d405c5c6a544eefee4fadc1fe5c38bea3b77ff,0xB92B4A201f4320A6Db6d1fb2d3Bac834bDaa95C9,30000000,7416081,8519786423424165,67,19154157,1707040109,1707040109595,False,flashbots,boba-builder.com,6595,8519786423424165
12,8351341,0x8b4535f31027c5d4303fa7c52364d54fc3f09805f41c899e65f73b53781e369b,0x519bbd690750ef0963f8db53868e439eddf59b3f6e63492ddf1eaf62ee191f28,0xab847befe59b5effffa12f47acf44cbf8ef875e7c891a4ee9e9c483254cf9a55f5ed688e43ff5bc6cd9276e99091921b,0x88693a24ef231b9fb91c7fd927d2c0c80ead39f144a76ced402a912cb1d405c5c6a544eefee4fadc1fe5c38bea3b77ff,0xB92B4A201f4320A6Db6d1fb2d3Bac834bDaa95C9,30000000,7457381,8519786423424175,68,19154157,1707040109,1707040109716,False,flashbots,boba-builder.com,6716,8519786423424175
13,8351341,0x8b4535f31027c5d4303fa7c52364d54fc3f09805f41c899e65f73b53781e369b,0x4843b0cee8f49dad242ab68add611722b43f8ef64eb52a6698b9d6f9c96f569f,0xab847befe59b5effffa12f47acf44cbf8ef875e7c891a4ee9e9c483254cf9a55f5ed688e43ff5bc6cd9276e99091921b,0x88693a24ef231b9fb91c7fd927d2c0c80ead39f144a76ced402a912cb1d405c5c6a544eefee4fadc1fe5c38bea3b77ff,0xB92B4A201f4320A6Db6d1fb2d3Bac834bDaa95C9,30000000,7520590,8519786423424186,69,19154157,1707040109,1707040109850,False,flashbots,boba-builder.com,6850,8519786423424186
14,8351341,0x8b4535f31027c5d4303fa7c52364d54fc3f09805f41c899e65f73b53781e369b,0x0768e513e31a3d05f3abafa1361041d408c6d2c3bb888b7ceab25c129d093ca0,0xab847befe59b5effffa12f47acf44cbf8ef875e7c891a4ee9e9c483254cf9a55f5ed688e43ff5bc6cd9276e99091921b,0x88693a24ef231b9fb91c7fd927d2c0c80ead39f144a76ced402a912cb1d405c5c6a544eefee4fadc1fe5c38bea3b77ff,0xB92B4A201f4320A6Db6d1fb2d3Bac834bDaa95C9,30000000,7672930,8519786423424196,70,19154157,1707040110,1707040110364,False,flashbots,boba-builder.com,7364,8519786423424196
15,8351341,0x8b4535f31027c5d4303fa7c52364d54fc3f09805f41c899e65f73b53781e369b,0xdb2565c2e027304049725df123068a023c494afce8577f1f8c3e255248a8649f,0xab847befe59b5effffa12f47acf44cbf8ef875e7c891a4ee9e9c483254cf9a55f5ed688e43ff5bc6cd9276e99091921b,0x88693a24ef231b9fb91c7fd927d2c0c80ead39f144a76ced402a912cb1d405c5c6a544eefee4fadc1fe5c38bea3b77ff,0xB92B4A201f4320A6Db6d1fb2d3Bac834bDaa95C9,30000000,7672931,8519786423424206,70,19154157,1707040110,1707040110398,False,flashbots,boba-builder.com,7398,8519786423424206
16,8351341,0x8b4535f31027c5d4303fa7c52364d54fc3f09805f41c899e65f73b53781e369b,0x87df3788450ea0d8e6206b46aa726ea2a3242c5038fe9026584b0222332cae56,0xab847befe59b5effffa12f47acf44cbf8ef875e7c891a4ee9e9c483254cf9a55f5ed688e43ff5bc6cd9276e99091921b,0x88693a24ef231b9fb91c7fd927d2c0c80ead39f144a76ced402a912cb1d405c5c6a544eefee4fadc1fe5c38bea3b77ff,0xB92B4A201f4320A6Db6d1fb2d3Bac834bDaa95C9,30000000,7839757,8519786423424217,72,19154157,1707040110,1707040110512,False,flashbots,boba-builder.com,7512,8519786423424217
17,8351341,0x8b4535f31027c5d4303fa7c52364d54fc3f09805f41c899e65f73b53781e369b,0x648b27d0fc58736331b0385b0b7b7628cc13b329da2a40bd59bd047505ac33eb,0x8eb772d96a747ba63af7acdf92dc775a859f76a77e4c6ed124dca6360e74e4e798a75a925eb8fd0dde866317fff18ad0,0x88693a24ef231b9fb91c7fd927d2c0c80ead39f144a76ced402a912cb1d405c5c6a544eefee4fadc1fe5c38bea3b77ff,0xB92B4A201f4320A6Db6d1fb2d3Bac834bDaa95C9,30000000,6900309,9451677744653217,58,19154157,1707040110,1707040110620,False,flashbots,https://eth-builder.com,7620,9451677744653217
18,8351341,0x8b4535f31027c5d4303fa7c52364d54fc3f09805f41c899e65f73b53781e369b,0x3cf57e3f6221504980dab76fcccac9b3718660c2ae1e35edb60ccdcc21003ddb,0xa8c6d24b4b74f55ca58f1fe0db806a352e4441240500fc2d20e5104eaa6312b996fe203aad510180ec6848e35eadc330,0x88693a24ef231b9fb91c7fd927d2c0c80ead39f144a76ced402a912cb1d405c5c6a544eefee4fadc1fe5c38bea3b77ff,0xB92B4A201f4320A6Db6d1fb2d3Bac834bDaa95C9,30000000,8455224,10719849746491621,76,19154157,1707040110,1707040110709,False,flashbots,,7709,10719849746491621
19,8351341,0x8b4535f31027c5d4303fa7c52364d54fc3f09805f41c899e65f73b53781e369b,0x7399e32eb4d6f5e9ebbb97ddbe3ba20efd9f220e3bf28f6af7e0cb50d759c8cf,0xab847befe59b5effffa12f47acf44cbf8ef875e7c891a4ee9e9c483254cf9a55f5ed688e43ff5bc6cd9276e99091921b,0x88693a24ef231b9fb91c7fd927d2c0c80ead39f144a76ced402a912cb1d405c5c6a544eefee4fadc1fe5c38bea3b77ff,0xB92B4A201f4320A6Db6d1fb2d3Bac834bDaa95C9,30000000,8317249,19317280706877239,76,19154157,1707040111,1707040111035,False,flashbots,boba-builder.com,8035,19317280706877239
20,8351341,0x8b4535f31027c5d4303fa7c52364d54fc3f09805f41c899e65f73b53781e369b,0xc5c0046451f83ee819b596398870fdca9a27a45949ec3d4ec14ca01e4b135407,0xa1f1a5a4970903afd6f0f16049c3e9997d348a3254e99b08e89ffb553d0b1575595776b1d849ca2e8d64106443a47e76,0x88693a24ef231b9fb91c7fd927d2c0c80ead39f144a76ced402a912cb1d405c5c6a544eefee4fadc1fe5c38bea3b77ff,0xB92B4A201f4320A6Db6d1fb2d3Bac834bDaa95C9,30000000,9746675,387451816559768169,93,19154157,1707040111,1707040111054,False,flashbots,,8054,387451816559768169
21,8351341,0x8b4535f31027c5d4303fa7c52364d54fc3f09805f41c899e65f73b53781e369b,0xe907b1922ea3810cd192f8ad0875571b26c2aa78c741d96911718c86b290a779,0xa1f1a5a4970903afd6f0f16049c3e9997d348a3254e99b08e89ffb553d0b1575595776b1d849ca2e8d64106443a47e76,0x88693a24ef231b9fb91c7fd927d2c0c80ead39f144a76ced402a912cb1d405c5c6a544eefee4fadc1fe5c38bea3b77ff,0xB92B4A201f4320A6Db6d1fb2d3Bac834bDaa95C9,30000000,9884281,387684396699183415,94,19154157,1707040111,1707040111106,False,flashbots,,8106,387684396699183415
22,8351341,0x8b4535f31027c5d4303fa7c52364d54fc3f09805f41c899e65f73b53781e369b,0xa1c6ff96abf4462d80557034d0b1dddafa932b62a999d9c50bfac1087db470d7,0xa1f1a5a4970903afd6f0f16049c3e9997d348a3254e99b08e89ffb553d0b1575595776b1d849ca2e8d64106443a47e76,0x88693a24ef231b9fb91c7fd927d2c0c80ead39f144a76ced402a912cb1d405c5c6a544eefee4fadc1fe5c38bea3b77ff,0xB92B4A201f4320A6Db6d1fb2d3Bac834bDaa95C9,30000000,9930858,387684796067382020,95,19154157,1707040111,1707040111158,False,flashbots,,8158,387684796067382020
23,8351341,0x8b4535f31027c5d4303fa7c52364d54fc3f09805f41c899e65f73b53781e369b,0x6b52df105ec5e9dfc89251ca5146fb9c9082e7666296d651a15439f6642db007,0xa1f1a5a4970903afd6f0f16049c3e9997d348a3254e99b08e89ffb553d0b1575595776b1d849ca2e8d64106443a47e76,0x88693a24ef231b9fb91c7fd927d2c0c80ead39f144a76ced402a912cb1d405c5c6a544eefee4fadc1fe5c38bea3b77ff,0xB92B4A201f4320A6Db6d1fb2d3Bac834bDaa95C9,30000000,10171742,387690630786849912,96,19154157,1707040111,1707040111674,False,flashbots,,8674,387690630786849912
24,8351341,0x8b4535f31027c5d4303fa7c52364d54fc3f09805f41c899e65f73b53781e369b,0x9b0dfd6e4510aef79b642d4ea8db5ac2036c2cd9e2144824506c15936a66095d,0xa1f1a5a4970903afd6f0f16049c3e9997d348a3254e99b08e89ffb553d0b1575595776b1d849ca2e8d64106443a47e76,0x88693a24ef231b9fb91c7fd927d2c0c80ead39f144a76ced402a912cb1d405c5c6a544eefee4fadc1fe5c38bea3b77ff,0xB92B4A201f4320A6Db6d1fb2d3Bac834bDaa95C9,30000000,10266412,387692164023996994,98,19154157,1707040111,1707040111778,False,flashbots,,8778,387692164023996994
25,8351341,0x8b4535f31027c5d4303fa7c52364d54fc3f09805f41c899e65f73b53781e369b,0x74692b8b1249a0d06383a577c1ca15ff488b377b8599c7f348b6f5eaf191916e,0xa1f1a5a4970903afd6f0f16049c3e9997d348a3254e99b08e89ffb553d0b1575595776b1d849ca2e8d64106443a47e76,0x88693a24ef231b9fb91c7fd927d2c0c80ead39f144a76ced402a912cb1d405c5c6a544eefee4fadc1fe5c38bea3b77ff,0xB92B4A201f4320A6Db6d1fb2d3Bac834bDaa95C9,30000000,10409376,387753331654588994,100,19154157,1707040111,1707040111880,False,flashbots,,8880,387753331654588994
26,8351341,0x8b4535f31027c5d4303fa7c52364d54fc3f09805f41c899e65f73b53781e369b,0x8117f0e859e4e7c950b25e956caa22b2e2ab41572f031468bbdb355127737549,0xa1f1a5a4970903afd6f0f16049c3e9997d348a3254e99b08e89ffb553d0b1575595776b1d849ca2e8d64106443a47e76,0x88693a24ef231b9fb91c7fd927d2c0c80ead39f144a76ced402a912cb1d405c5c6a544eefee4fadc1fe5c38bea3b77ff,0xB92B4A201f4320A6Db6d1fb2d3Bac834bDaa95C9,30000000,9753290,387811175546208836,95,19154157,1707040112,1707040112189,False,flashbots,,9189,387811175546208836
